program counter, branch history, branch outcome

0000000A, "0000000000000000", 0
0000000A, "0000000000000000", 0
0000000A, "0000000000000000", 0
0000000A, "0000000000000000", 0
0000000A, "0000000000000000", 0
0000000A, "0000000000000000", 0
0000000A, "0000000000000000", 0
0000000A, "0000000000000000", 0
0000000A, "0000000000000000", 0
0000000A, "0000000000000000", 0
0000000A, "0000000000000000", 0
0000000A, "0000000000000000", 0
0000000A, "0000000000000000", 0
0000000A, "0000000000000000", 0
0000000A, "0000000000000000", 0
0000000A, "0000000000000000", 0
0000000A, "0000000000000000", 0
0000000A, "0000000000000000", 0
0000000A, "0000000000000000", 0
0000000A, "0000000000000000", 0
0000000A, "0000000000000000", 0
0000000A, "0000000000000000", 0
0000000A, "0000000000000000", 0
0000000A, "0000000000000000", 0
0000000A, "0000000000000000", 0
0000000A, "0000000000000000", 0
0000000A, "0000000000000000", 0
0000000A, "0000000000000000", 0
0000000A, "0000000000000000", 0
0000000A, "0000000000000000", 0
0000000A, "0000000000000000", 0
0000000A, "0000000000000000", 0
0000000A, "0000000000000000", 0
0000000A, "0000000000000000", 0
0000000A, "0000000000000000", 0
0000000A, "0000000000000000", 0
0000000A, "0000000000000000", 0
0000000A, "0000000000000000", 0
0000000A, "0000000000000000", 0
0000000A, "0000000000000000", 0
0000000A, "0000000000000000", 0
0000000A, "0000000000000000", 0
0000000A, "0000000000000000", 0
0000000A, "0000000000000000", 0
0000000A, "0000000000000000", 1
