program counter, branch history, branch outcome

00000007, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 0
0000000D, "0000000000000000", 1
00000007, "1000000000000000", 0
0000000D, "0100000000000000", 0
0000000D, "0010000000000000", 0
0000000D, "0001000000000000", 0
0000000D, "0000100000000000", 0
0000000D, "0000010000000000", 0
0000000D, "0000001000000000", 0
0000000D, "0000000100000000", 0
0000000D, "0000000010000000", 0
0000000D, "0000000001000000", 0
0000000D, "0000000000100000", 0
0000000D, "0000000000010000", 0
0000000D, "0000000000001000", 0
