program counter, branch history, branch outcome

0000002D, "0000000000000000", 0
0000002D, "0000000000000000", 0
0000002D, "0000000000000000", 1
00000032, "1000000000000000", 1
00000032, "1100000000000000", 1
00000032, "1110000000000000", 1
00000032, "1111000000000000", 1
00000032, "1111100000000000", 1
00000032, "1111110000000000", 1
00000032, "1111111000000000", 0
0000002D, "0111111100000000", 0
00000022, "0011111110000000", 1
0000002D, "1001111111000000", 0
0000002D, "0100111111100000", 1
00000032, "1010011111110000", 0
0000002D, "0101001111111000", 1
00000032, "1010100111111100", 1
00000032, "1101010011111110", 1
00000032, "1110101001111111", 1
00000032, "1111010100111111", 1
00000032, "1111101010011111", 1
00000032, "1111110101001111", 1
00000032, "1111111010100111", 1
00000032, "1111111101010011", 1
00000032, "1111111110101001", 1
00000032, "1111111111010100", 1
00000032, "1111111111101010", 1
00000032, "1111111111110101", 1
00000032, "1111111111111010", 0
0000002D, "0111111111111101", 0
00000022, "0011111111111110", 1
0000002D, "1001111111111111", 0
0000002D, "0100111111111111", 1
00000032, "1010011111111111", 1
00000032, "1101001111111111", 0
0000002D, "0110100111111111", 1
00000032, "1011010011111111", 1
00000032, "1101101001111111", 1
00000032, "1110110100111111", 1
00000032, "1111011010011111", 1
00000032, "1111101101001111", 1
00000032, "1111110110100111", 1
00000032, "1111111011010011", 1
00000032, "1111111101101001", 1
00000032, "1111111110110100", 1
00000032, "1111111111011010", 1
00000032, "1111111111101101", 1
00000032, "1111111111110110", 1
00000032, "1111111111111011", 1
00000032, "1111111111111101", 1
00000032, "1111111111111110", 1
00000032, "1111111111111111", 1
00000032, "1111111111111111", 1
00000032, "1111111111111111", 1
00000032, "1111111111111111", 1
00000032, "1111111111111111", 1
00000032, "1111111111111111", 1
00000032, "1111111111111111", 1
00000032, "1111111111111111", 1
00000032, "1111111111111111", 1
00000032, "1111111111111111", 1
00000032, "1111111111111111", 1
00000032, "1111111111111111", 1
00000032, "1111111111111111", 1
00000032, "1111111111111111", 1
00000032, "1111111111111111", 1
00000032, "1111111111111111", 1
00000032, "1111111111111111", 1
00000032, "1111111111111111", 1
00000032, "1111111111111111", 1
00000032, "1111111111111111", 0
0000002D, "0111111111111111", 0
00000022, "0011111111111111", 1
0000002D, "1001111111111111", 0
0000002D, "0100111111111111", 1
00000032, "1010011111111111", 1
00000032, "1101001111111111", 1
00000032, "1110100111111111", 0
0000002D, "0111010011111111", 1
00000032, "1011101001111111", 1
00000032, "1101110100111111", 1
00000032, "1110111010011111", 1
00000032, "1111011101001111", 1
00000032, "1111101110100111", 1
00000032, "1111110111010011", 1
00000032, "1111111011101001", 1
00000032, "1111111101110100", 1
00000032, "1111111110111010", 1
00000032, "1111111111011101", 1
00000032, "1111111111101110", 1
00000032, "1111111111110111", 1
00000032, "1111111111111011", 1
00000032, "1111111111111101", 1
00000032, "1111111111111110", 1
00000032, "1111111111111111", 1
00000032, "1111111111111111", 1
00000032, "1111111111111111", 1
00000032, "1111111111111111", 1
00000032, "1111111111111111", 1
00000032, "1111111111111111", 1
00000032, "1111111111111111", 1
00000032, "1111111111111111", 1
00000032, "1111111111111111", 1
00000032, "1111111111111111", 1
00000032, "1111111111111111", 0
0000002D, "0111111111111111", 0
00000022, "0011111111111111", 1
0000002D, "1001111111111111", 0
0000002D, "0100111111111111", 1
00000032, "1010011111111111", 1
00000032, "1101001111111111", 1
00000032, "1110100111111111", 1
00000032, "1111010011111111", 0
0000002D, "0111101001111111", 1
00000032, "1011110100111111", 1
