program counter, branch history, branch outcome

00000041, "0000000000000000", 0
00000041, "0000000000000000", 0
00000041, "0000000000000000", 0
00000041, "0000000000000000", 0
00000041, "0000000000000000", 0
00000041, "0000000000000000", 0
00000041, "0000000000000000", 0
00000041, "0000000000000000", 0
00000041, "0000000000000000", 0
00000041, "0000000000000000", 0
00000041, "0000000000000000", 0
00000041, "0000000000000000", 1
00000041, "1000000000000000", 1
0000005C, "1100000000000000", 0
0000005E, "0110000000000000", 0
00000067, "0011000000000000", 0
0000005C, "0001100000000000", 1
0000007A, "1000110000000000", 1
00000086, "1100011000000000", 0
00000086, "0110001100000000", 1
00000096, "1011000110000000", 0
00000096, "0101100011000000", 0
00000096, "0010110001100000", 1
00000041, "1001011000110000", 1
0000005C, "1100101100011000", 0
0000005E, "0110010110001100", 0
00000067, "0011001011000110", 0
0000005C, "0001100101100011", 0
0000005E, "0000110010110001", 0
00000067, "0000011001011000", 1
0000005C, "1000001100101100", 0
0000005E, "0100000110010110", 1
0000007A, "1010000011001011", 0
0000007A, "0101000001100101", 1
00000086, "1010100000110010", 1
00000096, "1101010000011001", 0
00000096, "0110101000001100", 0
00000096, "0011010100000110", 0
00000096, "0001101010000011", 1
00000041, "1000110101000001", 0
00000041, "0100011010100000", 0
00000041, "0010001101010000", 1
00000041, "1001000110101000", 1
0000005C, "1100100011010100", 0
0000005E, "0110010001101010", 0
00000067, "0011001000110101", 1
0000005C, "1001100100011010", 0
0000005E, "0100110010001101", 1
0000007A, "1010011001000110", 0
0000007A, "0101001100100011", 1
00000086, "1010100110010001", 1
00000096, "1101010011001000", 0
00000096, "0110101001100100", 0
00000096, "0011010100110010", 1
00000041, "1001101010011001", 1
0000005C, "1100110101001100", 0
0000005E, "0110011010100110", 0
00000067, "0011001101010011", 1
0000005C, "1001100110101001", 0
0000005E, "0100110011010100", 1
0000007A, "1010011001101010", 0
0000007A, "0101001100110101", 0
0000007A, "0010100110011010", 1
00000086, "1001010011001101", 1
00000096, "1100101001100110", 0
00000096, "0110010100110011", 0
00000096, "0011001010011001", 0
00000096, "0001100101001100", 1
0000005C, "1000110010100110", 0
0000005E, "0100011001010011", 0
00000067, "0010001100101001", 1
0000005C, "1001000110010100", 0
0000005E, "0100100011001010", 0
00000067, "0010010001100101", 1
0000005C, "1001001000110010", 0
0000005E, "0100100100011001", 0
00000067, "0010010010001100", 0
0000005C, "0001001001000110", 0
0000005E, "0000100100100011", 0
00000067, "0000010010010001", 0
0000005C, "0000001001001000", 0
0000005E, "0000000100100100", 0
00000067, "0000000010010010", 1
0000005C, "1000000001001001", 0
0000005E, "0100000000100100", 1
0000007A, "1010000000010010", 0
0000007A, "0101000000001001", 1
00000086, "1010100000000100", 1
00000096, "1101010000000010", 0
00000096, "0110101000000001", 0
00000096, "0011010100000000", 0
00000096, "0001101010000000", 0
00000096, "0000110101000000", 0
00000096, "0000011010100000", 0
00000096, "0000001101010000", 1
00000041, "1000000110101000", 0
00000041, "0100000011010100", 0
00000041, "0010000001101010", 0
00000041, "0001000000110101", 1
00000041, "1000100000011010", 1
0000005C, "1100010000001101", 0
0000005E, "0110001000000110", 0
00000067, "0011000100000011", 0
0000005C, "0001100010000001", 1
0000007A, "1000110001000000", 1
00000086, "1100011000100000", 0
00000086, "0110001100010000", 1
00000096, "1011000110001000", 0
00000096, "0101100011000100", 0
00000096, "0010110001100010", 1
00000041, "1001011000110001", 1
0000005C, "1100101100011000", 0
0000005E, "0110010110001100", 0
