program counter, branch history, branch outcome

00000005, "0000000000000000", 0
00000009, "0000000000000000", 0
0000000D, "0000000000000000", 0
00000009, "0000000000000000", 0
0000000D, "0000000000000000", 0
00000009, "0000000000000000", 1
00000005, "1000000000000000", 0
00000009, "0100000000000000", 0
0000000D, "0010000000000000", 1
00000005, "1001000000000000", 0
00000009, "0100100000000000", 0
0000000D, "0010010000000000", 0
00000009, "0001001000000000", 0
0000000D, "0000100100000000", 1
00000005, "1000010010000000", 0
00000009, "0100001001000000", 0
0000000D, "0010000100100000", 1
00000005, "1001000010010000", 0
00000009, "0100100001001000", 0
0000000D, "0010010000100100", 1
00000005, "1001001000010010", 0
00000009, "0100100100001001", 0
0000000D, "0010010010000100", 0
00000009, "0001001001000010", 0
0000000D, "0000100100100001", 0
00000009, "0000010010010000", 0
0000000D, "0000001001001000", 0
00000009, "0000000100100100", 0
0000000D, "0000000010010010", 0
00000009, "0000000001001001", 0
0000000D, "0000000000100100", 0
00000009, "0000000000010010", 0
0000000D, "0000000000001001", 0
00000009, "0000000000000100", 0
0000000D, "0000000000000010", 0
00000009, "0000000000000001", 1
00000005, "1000000000000000", 0
00000009, "0100000000000000", 0
0000000D, "0010000000000000", 1
00000005, "1001000000000000", 0
00000009, "0100100000000000", 0
0000000D, "0010010000000000", 0
00000009, "0001001000000000", 0
0000000D, "0000100100000000", 1
00000005, "1000010010000000", 1
