Register file content : 
index =          0 , reg_out : signed =           0 , unsigned =          0
index =          1 , reg_out : signed =          10 , unsigned =         10
index =          2 , reg_out : signed =           8 , unsigned =          8
index =          3 , reg_out : signed =           1 , unsigned =          1
index =          4 , reg_out : signed =           0 , unsigned =          0
index =          5 , reg_out : signed =          48 , unsigned =         48
index =          6 , reg_out : signed =           9 , unsigned =          9
index =          7 , reg_out : signed =           0 , unsigned =          0
index =          8 , reg_out : signed =          85 , unsigned =         85
index =          9 , reg_out : signed =           0 , unsigned =          0
index =         10 , reg_out : signed =           0 , unsigned =          0
index =         11 , reg_out : signed =           0 , unsigned =          0
index =         12 , reg_out : signed =           0 , unsigned =          0
index =         13 , reg_out : signed =           0 , unsigned =          0
index =         14 , reg_out : signed =           0 , unsigned =          0
index =         15 , reg_out : signed =           0 , unsigned =          0
index =         16 , reg_out : signed =           0 , unsigned =          0
index =         17 , reg_out : signed =           0 , unsigned =          0
index =         18 , reg_out : signed =           0 , unsigned =          0
index =         19 , reg_out : signed =           0 , unsigned =          0
index =         20 , reg_out : signed =          10 , unsigned =         10
index =         21 , reg_out : signed =           0 , unsigned =          0
index =         22 , reg_out : signed =          -1 , unsigned = 4294967295
index =         23 , reg_out : signed =           0 , unsigned =          0
index =         24 , reg_out : signed =           0 , unsigned =          0
index =         25 , reg_out : signed =           0 , unsigned =          0
index =         26 , reg_out : signed =           0 , unsigned =          0
index =         27 , reg_out : signed =           0 , unsigned =          0
index =         28 , reg_out : signed =           0 , unsigned =          0
index =         29 , reg_out : signed =           0 , unsigned =          0
index =         30 , reg_out : signed =           0 , unsigned =          0
index =         31 , reg_out : signed =           0 , unsigned =          0
Data Memory Content : 
Mem[ 0] =           1
Mem[ 1] =           2
Mem[ 2] =           5
Mem[ 3] =           7
Mem[ 4] =          10
Mem[ 5] =          15
Mem[ 6] =          16
Mem[ 7] =          48
Mem[ 8] =          85
Mem[ 9] =         255
Mem[10] =           x
Mem[11] =           x
Mem[12] =           x
Mem[13] =           x
Mem[14] =           x
Mem[15] =           x
Mem[16] =           x
Mem[17] =           x
Mem[18] =           x
Mem[19] =           x
Mem[20] =           x
Mem[21] =           x
Mem[22] =           x
Mem[23] =           x
Mem[24] =           x
Mem[25] =           x
Mem[26] =           x
Mem[27] =           x
Mem[28] =           x
Mem[29] =           x
Mem[30] =           x
Mem[31] =           x
Mem[32] =           x
Mem[33] =           x
Mem[34] =           x
Mem[35] =           x
Mem[36] =           x
Mem[37] =           x
Mem[38] =           x
Mem[39] =           x
Mem[40] =           x
Mem[41] =           x
Mem[42] =           x
Mem[43] =           x
Mem[44] =           x
Mem[45] =           x
Mem[46] =           x
Mem[47] =           x
Mem[48] =           x
Mem[49] =           x
Mem[50] =           x
