program counter, branch history, branch outcome

00000008, "0000000000000000", 0
0000000C, "0000000000000000", 1
00000010, "1000000000000000", 0
00000008, "0100000000000000", 0
0000000C, "0010000000000000", 1
00000010, "1001000000000000", 0
00000008, "0100100000000000", 0
0000000C, "0010010000000000", 1
00000010, "1001001000000000", 1
00000008, "1100100100000000", 0
0000000C, "0110010010000000", 0
00000008, "0011001001000000", 0
0000000C, "0001100100100000", 1
00000010, "1000110010010000", 1
00000008, "1100011001001000", 0
0000000C, "0110001100100100", 1
00000010, "1011000110010010", 0
00000008, "0101100011001001", 0
0000000C, "0010110001100100", 1
00000010, "1001011000110010", 1
00000008, "1100101100011001", 0
0000000C, "0110010110001100", 1
00000010, "1011001011000110", 1
00000008, "1101100101100011", 0
0000000C, "0110110010110001", 1
00000010, "1011011001011000", 1
00000008, "1101101100101100", 1
