program counter, branch history, branch outcome

00000004, "0000000000000000", 0
0000000A, "0000000000000000", 1
00000012, "1000000000000000", 1
00000004, "1100000000000000", 0
0000000A, "0110000000000000", 0
0000000D, "0011000000000000", 0
0000000A, "0001100000000000", 1
00000012, "1000110000000000", 1
00000004, "1100011000000000", 0
0000000A, "0110001100000000", 0
0000000D, "0011000110000000", 0
0000000A, "0001100011000000", 0
0000000D, "0000110001100000", 0
0000000A, "0000011000110000", 1
00000012, "1000001100011000", 1
00000004, "1100000110001100", 0
0000000A, "0110000011000110", 0
0000000D, "0011000001100011", 1
00000004, "1001100000110001", 0
0000000A, "0100110000011000", 0
0000000D, "0010011000001100", 0
0000000A, "0001001100000110", 0
0000000D, "0000100110000011", 1
00000004, "1000010011000001", 0
0000000A, "0100001001100000", 0
0000000D, "0010000100110000", 0
0000000A, "0001000010011000", 0
0000000D, "0000100001001100", 0
0000000A, "0000010000100110", 0
0000000D, "0000001000010011", 0
0000000A, "0000000100001001", 1
00000012, "1000000010000100", 1
00000004, "1100000001000010", 0
0000000A, "0110000000100001", 0
0000000D, "0011000000010000", 0
0000000A, "0001100000001000", 0
0000000D, "0000110000000100", 0
0000000A, "0000011000000010", 0
0000000D, "0000001100000001", 1
00000004, "1000000110000000", 0
0000000A, "0100000011000000", 0
0000000D, "0010000001100000", 0
0000000A, "0001000000110000", 0
0000000D, "0000100000011000", 0
0000000A, "0000010000001100", 0
0000000D, "0000001000000110", 0
0000000A, "0000000100000011", 0
0000000D, "0000000010000001", 0
0000000A, "0000000001000000", 1
00000012, "1000000000100000", 1
00000004, "1100000000010000", 0
0000000A, "0110000000001000", 0
0000000D, "0011000000000100", 1
00000004, "1001100000000010", 0
0000000A, "0100110000000001", 0
0000000D, "0010011000000000", 0
0000000A, "0001001100000000", 0
0000000D, "0000100110000000", 0
0000000A, "0000010011000000", 0
0000000D, "0000001001100000", 0
0000000A, "0000000100110000", 0
0000000D, "0000000010011000", 0
0000000A, "0000000001001100", 0
0000000D, "0000000000100110", 0
0000000A, "0000000000010011", 1
00000012, "1000000000001001", 1
00000004, "1100000000000100", 0
0000000A, "0110000000000010", 0
0000000D, "0011000000000001", 0
0000000A, "0001100000000000", 0
0000000D, "0000110000000000", 0
0000000A, "0000011000000000", 0
0000000D, "0000001100000000", 0
0000000A, "0000000110000000", 0
0000000D, "0000000011000000", 0
0000000A, "0000000001100000", 0
0000000D, "0000000000110000", 0
0000000A, "0000000000011000", 0
0000000D, "0000000000001100", 0
0000000A, "0000000000000110", 1
00000012, "1000000000000011", 1
00000004, "1100000000000001", 0
0000000A, "0110000000000000", 0
0000000D, "0011000000000000", 0
0000000A, "0001100000000000", 0
0000000D, "0000110000000000", 0
0000000A, "0000011000000000", 0
0000000D, "0000001100000000", 0
0000000A, "0000000110000000", 0
0000000D, "0000000011000000", 0
0000000A, "0000000001100000", 0
0000000D, "0000000000110000", 0
0000000A, "0000000000011000", 0
0000000D, "0000000000001100", 1
00000004, "1000000000000110", 0
0000000A, "0100000000000011", 0
0000000D, "0010000000000001", 0
0000000A, "0001000000000000", 0
0000000D, "0000100000000000", 0
0000000A, "0000010000000000", 0
0000000D, "0000001000000000", 0
0000000A, "0000000100000000", 0
0000000D, "0000000010000000", 0
0000000A, "0000000001000000", 0
0000000D, "0000000000100000", 0
0000000A, "0000000000010000", 0
0000000D, "0000000000001000", 0
0000000A, "0000000000000100", 0
0000000D, "0000000000000010", 0
0000000A, "0000000000000001", 1
00000012, "1000000000000000", 1
00000004, "1100000000000000", 0
0000000A, "0110000000000000", 0
0000000D, "0011000000000000", 0
0000000A, "0001100000000000", 0
0000000D, "0000110000000000", 0
0000000A, "0000011000000000", 0
0000000D, "0000001100000000", 0
0000000A, "0000000110000000", 0
0000000D, "0000000011000000", 0
0000000A, "0000000001100000", 0
0000000D, "0000000000110000", 0
0000000A, "0000000000011000", 0
0000000D, "0000000000001100", 0
0000000A, "0000000000000110", 0
0000000D, "0000000000000011", 0
0000000A, "0000000000000001", 0
0000000D, "0000000000000000", 0
0000000A, "0000000000000000", 1
00000012, "1000000000000000", 1
00000004, "1100000000000000", 1
