program counter, branch history, branch outcome

00000011, "0000000000000000", 1
00000011, "1000000000000000", 1
00000011, "1100000000000000", 1
00000011, "1110000000000000", 1
00000011, "1111000000000000", 0
0000000A, "0111100000000000", 1
00000011, "1011110000000000", 1
00000011, "1101111000000000", 1
00000011, "1110111100000000", 0
0000000A, "0111011110000000", 1
00000011, "1011101111000000", 1
00000011, "1101110111100000", 0
0000000A, "0110111011110000", 1
00000011, "1011011101111000", 0
0000000A, "0101101110111100", 1
00000011, "1010110111011110", 1
00000011, "1101011011101111", 0
0000000A, "0110101101110111", 1
00000011, "1011010110111011", 1
00000011, "1101101011011101", 1
00000011, "1110110101101110", 1
00000011, "1111011010110111", 1
00000011, "1111101101011011", 1
00000011, "1111110110101101", 1
00000011, "1111111011010110", 1
00000011, "1111111101101011", 1
00000011, "1111111110110101", 1
00000011, "1111111111011010", 1
00000011, "1111111111101101", 1
00000011, "1111111111110110", 1
00000011, "1111111111111011", 1
00000011, "1111111111111101", 1
00000011, "1111111111111110", 1
00000011, "1111111111111111", 0
0000000A, "0111111111111111", 1
00000011, "1011111111111111", 1
00000011, "1101111111111111", 1
00000011, "1110111111111111", 1
00000011, "1111011111111111", 1
00000011, "1111101111111111", 1
00000011, "1111110111111111", 1
00000011, "1111111011111111", 1
00000011, "1111111101111111", 1
00000011, "1111111110111111", 1
00000011, "1111111111011111", 1
00000011, "1111111111101111", 1
00000011, "1111111111110111", 1
00000011, "1111111111111011", 1
00000011, "1111111111111101", 1
00000011, "1111111111111110", 1
00000011, "1111111111111111", 1
00000011, "1111111111111111", 1
00000011, "1111111111111111", 1
00000011, "1111111111111111", 1
00000011, "1111111111111111", 1
00000011, "1111111111111111", 1
00000011, "1111111111111111", 1
00000011, "1111111111111111", 1
00000011, "1111111111111111", 1
00000011, "1111111111111111", 1
00000011, "1111111111111111", 1
00000011, "1111111111111111", 1
00000011, "1111111111111111", 1
00000011, "1111111111111111", 1
00000011, "1111111111111111", 1
00000011, "1111111111111111", 1
00000011, "1111111111111111", 1
00000011, "1111111111111111", 1
00000011, "1111111111111111", 1
00000011, "1111111111111111", 1
00000011, "1111111111111111", 1
00000011, "1111111111111111", 1
00000011, "1111111111111111", 1
00000011, "1111111111111111", 1
00000011, "1111111111111111", 1
00000011, "1111111111111111", 1
00000011, "1111111111111111", 1
00000011, "1111111111111111", 1
00000011, "1111111111111111", 1
00000011, "1111111111111111", 1
00000011, "1111111111111111", 1
00000011, "1111111111111111", 1
00000011, "1111111111111111", 0
0000000A, "0111111111111111", 1
00000011, "1011111111111111", 0
0000000A, "0101111111111111", 1
00000011, "1010111111111111", 0
0000000A, "0101011111111111", 1
00000011, "1010101111111111", 1
00000011, "1101010111111111", 1
00000011, "1110101011111111", 1
00000011, "1111010101111111", 1
00000011, "1111101010111111", 0
0000000A, "0111110101011111", 0
