program counter, branch history, branch outcome

00000008, "0000000000000000", 1
00000010, "1000000000000000", 1
00000008, "1100000000000000", 0
00000010, "0110000000000000", 1
00000008, "1011000000000000", 1
00000010, "1101100000000000", 1
00000008, "1110110000000000", 0
00000010, "0111011000000000", 1
00000008, "1011101100000000", 1
00000010, "1101110110000000", 1
00000008, "1110111011000000", 0
00000010, "0111011101100000", 1
00000008, "1011101110110000", 0
00000010, "0101110111011000", 1
00000008, "1010111011101100", 1
00000010, "1101011101110110", 1
00000008, "1110101110111011", 0
00000010, "0111010111011101", 1
00000008, "1011101011101110", 1
00000010, "1101110101110111", 1
00000008, "1110111010111011", 1
00000010, "1111011101011101", 1
00000008, "1111101110101110", 1
00000010, "1111110111010111", 1
00000008, "1111111011101011", 1
00000010, "1111111101110101", 1
00000008, "1111111110111010", 1
00000010, "1111111111011101", 1
00000008, "1111111111101110", 1
00000010, "1111111111110111", 1
00000008, "1111111111111011", 1
00000010, "1111111111111101", 1
00000008, "1111111111111110", 1
00000010, "1111111111111111", 1
00000008, "1111111111111111", 1
00000010, "1111111111111111", 1
00000008, "1111111111111111", 1
00000010, "1111111111111111", 1
00000008, "1111111111111111", 1
00000010, "1111111111111111", 0
00000013, "0111111111111111", 1
00000008, "1011111111111111", 0
00000010, "0101111111111111", 1
00000008, "1010111111111111", 1
00000010, "1101011111111111", 1
00000008, "1110101111111111", 1
00000010, "1111010111111111", 1
00000008, "1111101011111111", 1
00000010, "1111110101111111", 1
00000008, "1111111010111111", 1
00000010, "1111111101011111", 1
00000008, "1111111110101111", 1
00000010, "1111111111010111", 1
00000008, "1111111111101011", 1
00000010, "1111111111110101", 1
00000008, "1111111111111010", 1
00000010, "1111111111111101", 1
00000008, "1111111111111110", 1
00000010, "1111111111111111", 1
00000008, "1111111111111111", 1
00000010, "1111111111111111", 1
00000008, "1111111111111111", 1
00000010, "1111111111111111", 1
00000008, "1111111111111111", 1
00000010, "1111111111111111", 1
00000008, "1111111111111111", 1
00000010, "1111111111111111", 1
00000008, "1111111111111111", 1
00000010, "1111111111111111", 1
00000008, "1111111111111111", 1
00000010, "1111111111111111", 1
00000008, "1111111111111111", 1
00000010, "1111111111111111", 1
00000008, "1111111111111111", 1
00000010, "1111111111111111", 1
00000008, "1111111111111111", 1
00000010, "1111111111111111", 1
00000008, "1111111111111111", 1
00000010, "1111111111111111", 1
00000008, "1111111111111111", 1
00000010, "1111111111111111", 0
00000013, "0111111111111111", 1
00000008, "1011111111111111", 0
00000010, "0101111111111111", 1
00000008, "1010111111111111", 0
00000010, "0101011111111111", 1
00000008, "1010101111111111", 1
00000010, "1101010111111111", 1
00000008, "1110101011111111", 1
00000010, "1111010101111111", 1
00000008, "1111101010111111", 1
00000010, "1111110101011111", 1
00000008, "1111111010101111", 1
00000010, "1111111101010111", 1
00000008, "1111111110101011", 1
00000010, "1111111111010101", 1
00000008, "1111111111101010", 1
00000010, "1111111111110101", 1
00000008, "1111111111111010", 1
00000010, "1111111111111101", 1
00000008, "1111111111111110", 1
00000010, "1111111111111111", 1
00000008, "1111111111111111", 1
00000010, "1111111111111111", 1
00000008, "1111111111111111", 1
00000010, "1111111111111111", 1
00000008, "1111111111111111", 1
00000010, "1111111111111111", 1
00000008, "1111111111111111", 1
00000010, "1111111111111111", 1
00000008, "1111111111111111", 1
00000010, "1111111111111111", 1
00000008, "1111111111111111", 1
00000010, "1111111111111111", 1
00000008, "1111111111111111", 1
00000010, "1111111111111111", 1
00000008, "1111111111111111", 1
00000010, "1111111111111111", 1
00000008, "1111111111111111", 1
00000010, "1111111111111111", 1
00000008, "1111111111111111", 1
00000010, "1111111111111111", 0
00000013, "0111111111111111", 1
00000008, "1011111111111111", 1
00000010, "1101111111111111", 1
00000008, "1110111111111111", 1
00000010, "1111011111111111", 1
00000008, "1111101111111111", 0
00000010, "0111110111111111", 1
00000008, "1011111011111111", 1
00000010, "1101111101111111", 1
00000008, "1110111110111111", 1
00000010, "1111011111011111", 1
00000008, "1111101111101111", 1
00000010, "1111110111110111", 1
00000008, "1111111011111011", 1
00000010, "1111111101111101", 1
00000008, "1111111110111110", 1
00000010, "1111111111011111", 1
00000008, "1111111111101111", 1
00000010, "1111111111110111", 1
00000008, "1111111111111011", 1
00000010, "1111111111111101", 1
00000008, "1111111111111110", 1
00000010, "1111111111111111", 1
00000008, "1111111111111111", 1
00000010, "1111111111111111", 1
00000008, "1111111111111111", 1
00000010, "1111111111111111", 1
00000008, "1111111111111111", 1
00000010, "1111111111111111", 1
00000008, "1111111111111111", 1
00000010, "1111111111111111", 1
00000008, "1111111111111111", 1
00000010, "1111111111111111", 1
00000008, "1111111111111111", 1
00000010, "1111111111111111", 1
00000008, "1111111111111111", 1
00000010, "1111111111111111", 1
00000008, "1111111111111111", 1
00000010, "1111111111111111", 1
00000008, "1111111111111111", 1
00000010, "1111111111111111", 0
00000013, "0111111111111111", 1
00000008, "1011111111111111", 1
00000010, "1101111111111111", 1
00000008, "1110111111111111", 1
00000010, "1111011111111111", 1
00000008, "1111101111111111", 1
00000010, "1111110111111111", 1
00000008, "1111111011111111", 0
00000010, "0111111101111111", 1
00000008, "1011111110111111", 1
00000010, "1101111111011111", 1
00000008, "1110111111101111", 1
00000010, "1111011111110111", 1
00000008, "1111101111111011", 1
00000010, "1111110111111101", 1
00000008, "1111111011111110", 1
00000010, "1111111101111111", 1
00000008, "1111111110111111", 1
00000010, "1111111111011111", 1
00000008, "1111111111101111", 1
00000010, "1111111111110111", 1
00000008, "1111111111111011", 1
00000010, "1111111111111101", 1
00000008, "1111111111111110", 1
00000010, "1111111111111111", 1
00000008, "1111111111111111", 1
00000010, "1111111111111111", 1
00000008, "1111111111111111", 1
00000010, "1111111111111111", 1
00000008, "1111111111111111", 1
00000010, "1111111111111111", 1
00000008, "1111111111111111", 1
00000010, "1111111111111111", 1
00000008, "1111111111111111", 1
00000010, "1111111111111111", 1
00000008, "1111111111111111", 1
00000010, "1111111111111111", 1
00000008, "1111111111111111", 1
00000010, "1111111111111111", 1
00000008, "1111111111111111", 1
00000010, "1111111111111111", 0
00000013, "0111111111111111", 1
00000008, "1011111111111111", 1
00000010, "1101111111111111", 1
00000008, "1110111111111111", 1
00000010, "1111011111111111", 1
00000008, "1111101111111111", 1
00000010, "1111110111111111", 1
00000008, "1111111011111111", 1
00000010, "1111111101111111", 1
00000008, "1111111110111111", 0
00000010, "0111111111011111", 1
00000008, "1011111111101111", 1
00000010, "1101111111110111", 1
00000008, "1110111111111011", 1
00000010, "1111011111111101", 1
00000008, "1111101111111110", 1
00000010, "1111110111111111", 1
00000008, "1111111011111111", 1
00000010, "1111111101111111", 1
00000008, "1111111110111111", 1
00000010, "1111111111011111", 1
00000008, "1111111111101111", 1
00000010, "1111111111110111", 1
00000008, "1111111111111011", 1
00000010, "1111111111111101", 1
00000008, "1111111111111110", 1
00000010, "1111111111111111", 1
00000008, "1111111111111111", 1
00000010, "1111111111111111", 1
00000008, "1111111111111111", 1
00000010, "1111111111111111", 1
00000008, "1111111111111111", 1
00000010, "1111111111111111", 1
00000008, "1111111111111111", 1
00000010, "1111111111111111", 1
00000008, "1111111111111111", 1
00000010, "1111111111111111", 1
00000008, "1111111111111111", 1
00000010, "1111111111111111", 1
00000008, "1111111111111111", 1
00000010, "1111111111111111", 0
00000013, "0111111111111111", 1
00000008, "1011111111111111", 1
00000010, "1101111111111111", 1
00000008, "1110111111111111", 1
00000010, "1111011111111111", 1
00000008, "1111101111111111", 1
00000010, "1111110111111111", 1
00000008, "1111111011111111", 1
00000010, "1111111101111111", 1
00000008, "1111111110111111", 1
00000010, "1111111111011111", 1
00000008, "1111111111101111", 0
00000010, "0111111111110111", 1
00000008, "1011111111111011", 1
00000010, "1101111111111101", 1
00000008, "1110111111111110", 1
00000010, "1111011111111111", 1
00000008, "1111101111111111", 1
00000010, "1111110111111111", 1
00000008, "1111111011111111", 1
00000010, "1111111101111111", 1
00000008, "1111111110111111", 1
00000010, "1111111111011111", 1
00000008, "1111111111101111", 1
00000010, "1111111111110111", 1
00000008, "1111111111111011", 1
00000010, "1111111111111101", 1
00000008, "1111111111111110", 1
00000010, "1111111111111111", 1
00000008, "1111111111111111", 1
00000010, "1111111111111111", 1
00000008, "1111111111111111", 1
00000010, "1111111111111111", 1
00000008, "1111111111111111", 1
00000010, "1111111111111111", 1
00000008, "1111111111111111", 1
00000010, "1111111111111111", 1
00000008, "1111111111111111", 1
00000010, "1111111111111111", 1
00000008, "1111111111111111", 1
00000010, "1111111111111111", 0
00000013, "0111111111111111", 1
00000008, "1011111111111111", 0
00000010, "0101111111111111", 1
00000008, "1010111111111111", 0
00000010, "0101011111111111", 1
00000008, "1010101111111111", 0
00000010, "0101010111111111", 1
00000008, "1010101011111111", 0
00000010, "0101010101111111", 1
00000008, "1010101010111111", 0
00000010, "0101010101011111", 1
00000008, "1010101010101111", 0
00000010, "0101010101010111", 1
00000008, "1010101010101011", 0
00000010, "0101010101010101", 1
00000008, "1010101010101010", 1
00000010, "1101010101010101", 1
00000008, "1110101010101010", 1
00000010, "1111010101010101", 1
00000008, "1111101010101010", 1
00000010, "1111110101010101", 1
00000008, "1111111010101010", 1
00000010, "1111111101010101", 1
00000008, "1111111110101010", 1
00000010, "1111111111010101", 1
00000008, "1111111111101010", 1
00000010, "1111111111110101", 1
00000008, "1111111111111010", 1
00000010, "1111111111111101", 1
00000008, "1111111111111110", 1
00000010, "1111111111111111", 1
00000008, "1111111111111111", 1
00000010, "1111111111111111", 1
00000008, "1111111111111111", 1
00000010, "1111111111111111", 1
00000008, "1111111111111111", 1
00000010, "1111111111111111", 1
00000008, "1111111111111111", 1
00000010, "1111111111111111", 1
00000008, "1111111111111111", 1
00000010, "1111111111111111", 0
00000013, "0111111111111111", 1
00000008, "1011111111111111", 1
00000010, "1101111111111111", 1
00000008, "1110111111111111", 1
00000010, "1111011111111111", 1
00000008, "1111101111111111", 1
00000010, "1111110111111111", 1
00000008, "1111111011111111", 1
00000010, "1111111101111111", 1
00000008, "1111111110111111", 1
00000010, "1111111111011111", 1
00000008, "1111111111101111", 1
00000010, "1111111111110111", 1
00000008, "1111111111111011", 1
00000010, "1111111111111101", 1
00000008, "1111111111111110", 0
00000010, "0111111111111111", 1
00000008, "1011111111111111", 1
00000010, "1101111111111111", 1
00000008, "1110111111111111", 1
00000010, "1111011111111111", 1
00000008, "1111101111111111", 1
00000010, "1111110111111111", 1
00000008, "1111111011111111", 1
00000010, "1111111101111111", 1
00000008, "1111111110111111", 1
00000010, "1111111111011111", 1
00000008, "1111111111101111", 1
00000010, "1111111111110111", 1
00000008, "1111111111111011", 1
00000010, "1111111111111101", 1
00000008, "1111111111111110", 1
00000010, "1111111111111111", 1
00000008, "1111111111111111", 1
00000010, "1111111111111111", 1
00000008, "1111111111111111", 1
00000010, "1111111111111111", 1
00000008, "1111111111111111", 1
00000010, "1111111111111111", 1
00000008, "1111111111111111", 1
00000010, "1111111111111111", 0
00000013, "0111111111111111", 1
00000008, "1011111111111111", 1
00000010, "1101111111111111", 1
00000008, "1110111111111111", 1
00000010, "1111011111111111", 1
00000008, "1111101111111111", 1
00000010, "1111110111111111", 1
00000008, "1111111011111111", 1
00000010, "1111111101111111", 1
00000008, "1111111110111111", 1
00000010, "1111111111011111", 1
00000008, "1111111111101111", 1
00000010, "1111111111110111", 1
00000008, "1111111111111011", 1
00000010, "1111111111111101", 1
00000008, "1111111111111110", 1
00000010, "1111111111111111", 1
00000008, "1111111111111111", 0
00000010, "0111111111111111", 1
00000008, "1011111111111111", 1
00000010, "1101111111111111", 1
00000008, "1110111111111111", 1
00000010, "1111011111111111", 1
00000008, "1111101111111111", 1
00000010, "1111110111111111", 1
00000008, "1111111011111111", 1
00000010, "1111111101111111", 1
00000008, "1111111110111111", 1
00000010, "1111111111011111", 1
00000008, "1111111111101111", 1
00000010, "1111111111110111", 1
00000008, "1111111111111011", 1
00000010, "1111111111111101", 1
00000008, "1111111111111110", 1
00000010, "1111111111111111", 1
00000008, "1111111111111111", 1
00000010, "1111111111111111", 1
00000008, "1111111111111111", 1
00000010, "1111111111111111", 1
00000008, "1111111111111111", 1
00000010, "1111111111111111", 0
00000013, "0111111111111111", 1
00000008, "1011111111111111", 0
00000010, "0101111111111111", 1
00000008, "1010111111111111", 0
00000010, "0101011111111111", 1
00000008, "1010101111111111", 0
00000010, "0101010111111111", 1
00000008, "1010101011111111", 0
00000010, "0101010101111111", 1
00000008, "1010101010111111", 0
00000010, "0101010101011111", 1
00000008, "1010101010101111", 0
00000010, "0101010101010111", 1
00000008, "1010101010101011", 0
00000010, "0101010101010101", 1
00000008, "1010101010101010", 0
00000010, "0101010101010101", 1
00000008, "1010101010101010", 0
00000010, "0101010101010101", 1
00000008, "1010101010101010", 0
00000010, "0101010101010101", 1
00000008, "1010101010101010", 1
00000010, "1101010101010101", 1
00000008, "1110101010101010", 1
00000010, "1111010101010101", 1
00000008, "1111101010101010", 1
00000010, "1111110101010101", 1
00000008, "1111111010101010", 1
00000010, "1111111101010101", 1
00000008, "1111111110101010", 1
00000010, "1111111111010101", 1
00000008, "1111111111101010", 1
00000010, "1111111111110101", 1
00000008, "1111111111111010", 1
00000010, "1111111111111101", 1
00000008, "1111111111111110", 1
00000010, "1111111111111111", 1
00000008, "1111111111111111", 1
00000010, "1111111111111111", 1
00000008, "1111111111111111", 1
00000010, "1111111111111111", 0
00000013, "0111111111111111", 1
00000008, "1011111111111111", 1
00000010, "1101111111111111", 1
00000008, "1110111111111111", 1
00000010, "1111011111111111", 1
00000008, "1111101111111111", 1
00000010, "1111110111111111", 1
00000008, "1111111011111111", 1
00000010, "1111111101111111", 1
00000008, "1111111110111111", 0
00000010, "0111111111011111", 1
00000008, "1011111111101111", 0
00000010, "0101111111110111", 1
00000008, "1010111111111011", 0
00000010, "0101011111111101", 1
00000008, "1010101111111110", 0
00000010, "0101010111111111", 1
00000008, "1010101011111111", 0
00000010, "0101010101111111", 1
00000008, "1010101010111111", 0
00000010, "0101010101011111", 1
00000008, "1010101010101111", 0
00000010, "0101010101010111", 1
00000008, "1010101010101011", 1
00000010, "1101010101010101", 1
00000008, "1110101010101010", 1
00000010, "1111010101010101", 1
00000008, "1111101010101010", 1
00000010, "1111110101010101", 1
00000008, "1111111010101010", 1
00000010, "1111111101010101", 1
00000008, "1111111110101010", 1
00000010, "1111111111010101", 1
00000008, "1111111111101010", 1
00000010, "1111111111110101", 1
00000008, "1111111111111010", 1
00000010, "1111111111111101", 1
00000008, "1111111111111110", 1
00000010, "1111111111111111", 1
00000008, "1111111111111111", 1
00000010, "1111111111111111", 0
00000013, "0111111111111111", 1
00000008, "1011111111111111", 1
00000010, "1101111111111111", 1
00000008, "1110111111111111", 1
00000010, "1111011111111111", 1
00000008, "1111101111111111", 1
00000010, "1111110111111111", 1
00000008, "1111111011111111", 1
00000010, "1111111101111111", 1
00000008, "1111111110111111", 1
00000010, "1111111111011111", 1
00000008, "1111111111101111", 1
00000010, "1111111111110111", 1
00000008, "1111111111111011", 1
00000010, "1111111111111101", 1
00000008, "1111111111111110", 1
00000010, "1111111111111111", 1
00000008, "1111111111111111", 1
00000010, "1111111111111111", 1
00000008, "1111111111111111", 1
00000010, "1111111111111111", 1
00000008, "1111111111111111", 1
00000010, "1111111111111111", 1
00000008, "1111111111111111", 0
00000010, "0111111111111111", 1
00000008, "1011111111111111", 1
00000010, "1101111111111111", 1
00000008, "1110111111111111", 1
00000010, "1111011111111111", 1
00000008, "1111101111111111", 1
00000010, "1111110111111111", 1
00000008, "1111111011111111", 1
00000010, "1111111101111111", 1
00000008, "1111111110111111", 1
00000010, "1111111111011111", 1
00000008, "1111111111101111", 1
00000010, "1111111111110111", 1
00000008, "1111111111111011", 1
00000010, "1111111111111101", 1
00000008, "1111111111111110", 1
00000010, "1111111111111111", 0
00000013, "0111111111111111", 1
00000008, "1011111111111111", 1
00000010, "1101111111111111", 1
00000008, "1110111111111111", 1
00000010, "1111011111111111", 1
00000008, "1111101111111111", 1
00000010, "1111110111111111", 1
00000008, "1111111011111111", 1
00000010, "1111111101111111", 1
00000008, "1111111110111111", 1
00000010, "1111111111011111", 1
00000008, "1111111111101111", 1
00000010, "1111111111110111", 1
00000008, "1111111111111011", 1
00000010, "1111111111111101", 1
00000008, "1111111111111110", 1
00000010, "1111111111111111", 1
00000008, "1111111111111111", 1
00000010, "1111111111111111", 1
00000008, "1111111111111111", 1
00000010, "1111111111111111", 1
00000008, "1111111111111111", 1
00000010, "1111111111111111", 1
00000008, "1111111111111111", 1
00000010, "1111111111111111", 1
00000008, "1111111111111111", 0
00000010, "0111111111111111", 1
00000008, "1011111111111111", 1
00000010, "1101111111111111", 1
00000008, "1110111111111111", 1
00000010, "1111011111111111", 1
00000008, "1111101111111111", 1
00000010, "1111110111111111", 1
00000008, "1111111011111111", 1
00000010, "1111111101111111", 1
00000008, "1111111110111111", 1
00000010, "1111111111011111", 1
00000008, "1111111111101111", 1
00000010, "1111111111110111", 1
00000008, "1111111111111011", 1
00000010, "1111111111111101", 0
00000013, "0111111111111110", 1
00000008, "1011111111111111", 1
00000010, "1101111111111111", 1
00000008, "1110111111111111", 1
00000010, "1111011111111111", 1
00000008, "1111101111111111", 1
00000010, "1111110111111111", 1
00000008, "1111111011111111", 1
00000010, "1111111101111111", 1
00000008, "1111111110111111", 1
00000010, "1111111111011111", 1
00000008, "1111111111101111", 1
00000010, "1111111111110111", 1
00000008, "1111111111111011", 1
00000010, "1111111111111101", 1
00000008, "1111111111111110", 1
00000010, "1111111111111111", 1
00000008, "1111111111111111", 1
00000010, "1111111111111111", 1
00000008, "1111111111111111", 1
00000010, "1111111111111111", 1
00000008, "1111111111111111", 1
00000010, "1111111111111111", 1
00000008, "1111111111111111", 0
00000010, "0111111111111111", 1
00000008, "1011111111111111", 0
00000010, "0101111111111111", 1
00000008, "1010111111111111", 0
00000010, "0101011111111111", 1
00000008, "1010101111111111", 1
00000010, "1101010111111111", 1
00000008, "1110101011111111", 1
00000010, "1111010101111111", 1
00000008, "1111101010111111", 1
00000010, "1111110101011111", 1
00000008, "1111111010101111", 1
00000010, "1111111101010111", 1
00000008, "1111111110101011", 1
00000010, "1111111111010101", 1
00000008, "1111111111101010", 1
00000010, "1111111111110101", 0
00000013, "0111111111111010", 1
00000008, "1011111111111101", 1
00000010, "1101111111111110", 1
00000008, "1110111111111111", 1
00000010, "1111011111111111", 1
00000008, "1111101111111111", 1
00000010, "1111110111111111", 1
00000008, "1111111011111111", 1
00000010, "1111111101111111", 1
00000008, "1111111110111111", 1
00000010, "1111111111011111", 1
00000008, "1111111111101111", 1
00000010, "1111111111110111", 1
00000008, "1111111111111011", 1
00000010, "1111111111111101", 1
00000008, "1111111111111110", 1
00000010, "1111111111111111", 1
