program counter, branch history, branch outcome

00000006, "0000000000000000", 0
0000000A, "0000000000000000", 1
00000012, "1000000000000000", 0
00000016, "0100000000000000", 1
00000012, "1010000000000000", 0
00000016, "0101000000000000", 0
00000012, "0010100000000000", 0
00000016, "0001010000000000", 0
00000012, "0000101000000000", 1
00000006, "1000010100000000", 0
0000000A, "0100001010000000", 0
0000000A, "0010000101000000", 1
00000012, "1001000010100000", 0
00000016, "0100100001010000", 0
00000012, "0010010000101000", 0
00000016, "0001001000010100", 1
00000012, "1000100100001010", 0
00000016, "0100010010000101", 1
00000012, "1010001001000010", 1
00000006, "1101000100100001", 0
0000000A, "0110100010010000", 0
0000000A, "0011010001001000", 0
0000000A, "0001101000100100", 1
00000012, "1000110100010010", 0
00000016, "0100011010001001", 0
00000012, "0010001101000100", 0
00000016, "0001000110100010", 0
00000012, "0000100011010001", 0
00000016, "0000010001101000", 0
00000012, "0000001000110100", 1
00000006, "1000000100011010", 0
0000000A, "0100000010001101", 0
0000000A, "0010000001000110", 0
0000000A, "0001000000100011", 0
0000000A, "0000100000010001", 1
00000012, "1000010000001000", 0
00000016, "0100001000000100", 0
00000012, "0010000100000010", 0
00000016, "0001000010000001", 1
00000012, "1000100001000000", 0
00000016, "0100010000100000", 0
00000012, "0010001000010000", 1
00000006, "1001000100001000", 1
